Question_Number,Question_Text,Response,Count,Percentage
Q8,Q8) The AI tool makes it easy for me (the user) to dismiss or ignore its (the AI tool’s) undesired services.,Strongly Disagree (1),1,1.1
Q9,"Q9) The AI tool makes it easy for me (the user) to edit, refine, or recover when it (the AI tool) is wrong.",Agree (4),25,26.6
Q9,"Q9) The AI tool makes it easy for me (the user) to edit, refine, or recover when it (the AI tool) is wrong.",Strongly Agree (5),21,22.3
Q9,"Q9) The AI tool makes it easy for me (the user) to edit, refine, or recover when it (the AI tool) is wrong.",Neutral (3),18,19.1
Q9,"Q9) The AI tool makes it easy for me (the user) to edit, refine, or recover when it (the AI tool) is wrong.",Disagree (2),11,11.7
Q9,"Q9) The AI tool makes it easy for me (the user) to edit, refine, or recover when it (the AI tool) is wrong.",Strongly Disagree (1),7,7.4
Q9,"Q9) The AI tool makes it easy for me (the user) to edit, refine, or recover when it (the AI tool) is wrong.",Not applicable,3,3.2
Q10,"Q10) When the AI tool is uncertain about my goals (as a user), it engages in disambiguation or gracefully degrade its ((the AI tool’s) services.",Neutral (3),34,36.2
Q10,"Q10) When the AI tool is uncertain about my goals (as a user), it engages in disambiguation or gracefully degrade its ((the AI tool’s) services.",Agree (4),22,23.4
Q10,"Q10) When the AI tool is uncertain about my goals (as a user), it engages in disambiguation or gracefully degrade its ((the AI tool’s) services.",Disagree (2),20,21.3
Q10,"Q10) When the AI tool is uncertain about my goals (as a user), it engages in disambiguation or gracefully degrade its ((the AI tool’s) services.",Strongly Disagree (1),4,4.3
Q10,"Q10) When the AI tool is uncertain about my goals (as a user), it engages in disambiguation or gracefully degrade its ((the AI tool’s) services.",Not applicable,4,4.3
Q11,Q11) The AI tool enables me (the user) to be given an explanation about why it (the AI tool) behaved in the way it did.,Agree (4),41,43.6
Q11,Q11) The AI tool enables me (the user) to be given an explanation about why it (the AI tool) behaved in the way it did.,Disagree (2),15,16
Q11,Q11) The AI tool enables me (the user) to be given an explanation about why it (the AI tool) behaved in the way it did.,Strongly Agree (5),11,11.7
Q11,Q11) The AI tool enables me (the user) to be given an explanation about why it (the AI tool) behaved in the way it did.,Neutral (3),10,10.6
Q11,Q11) The AI tool enables me (the user) to be given an explanation about why it (the AI tool) behaved in the way it did.,Not applicable,3,3.2
Q11,Q11) The AI tool enables me (the user) to be given an explanation about why it (the AI tool) behaved in the way it did.,Strongly Disagree (1),3,3.2
Q12,Q12) The AI tool maintains a short term memory and allows me (the user) to make efficient references to that memory.,Agree (4),28,29.8
Q12,Q12) The AI tool maintains a short term memory and allows me (the user) to make efficient references to that memory.,Neutral (3),26,27.7
Q12,Q12) The AI tool maintains a short term memory and allows me (the user) to make efficient references to that memory.,Disagree (2),10,10.6
Q12,Q12) The AI tool maintains a short term memory and allows me (the user) to make efficient references to that memory.,Not applicable,10,10.6
Q12,Q12) The AI tool maintains a short term memory and allows me (the user) to make efficient references to that memory.,Strongly Agree (5),7,7.4
Q12,Q12) The AI tool maintains a short term memory and allows me (the user) to make efficient references to that memory.,Strongly Disagree (1),3,3.2
Q13,Q13) The AI tool personalizes my experience (as the user) by learning from their (the AI tool’s) actions over time.,Neutral (3),34,36.2
Q13,Q13) The AI tool personalizes my experience (as the user) by learning from their (the AI tool’s) actions over time.,Disagree (2),22,23.4
Q13,Q13) The AI tool personalizes my experience (as the user) by learning from their (the AI tool’s) actions over time.,Agree (4),11,11.7
Q13,Q13) The AI tool personalizes my experience (as the user) by learning from their (the AI tool’s) actions over time.,Strongly Agree (5),8,8.5
Q13,Q13) The AI tool personalizes my experience (as the user) by learning from their (the AI tool’s) actions over time.,Not applicable,6,6.4
Q13,Q13) The AI tool personalizes my experience (as the user) by learning from their (the AI tool’s) actions over time.,Strongly Disagree (1),4,4.3
Q14,Q14) The AI tool limits disruptive changes when updating and adapting its (the AI tool’s) behaviours.,Neutral (3),34,36.2
Q14,Q14) The AI tool limits disruptive changes when updating and adapting its (the AI tool’s) behaviours.,Strongly Agree (5),20,21.3
Q14,Q14) The AI tool limits disruptive changes when updating and adapting its (the AI tool’s) behaviours.,Agree (4),17,18.1
Q14,Q14) The AI tool limits disruptive changes when updating and adapting its (the AI tool’s) behaviours.,Disagree (2),7,7.4
Q14,Q14) The AI tool limits disruptive changes when updating and adapting its (the AI tool’s) behaviours.,Not applicable,5,5.3
Q14,Q14) The AI tool limits disruptive changes when updating and adapting its (the AI tool’s) behaviours.,Strongly Disagree (1),2,2.1
Q15,Q15) The AI tool enables me (the user) to provide feedback indicating my preferences during regular interactions with it (the AI tool).,Agree (4),30,31.9
Q15,Q15) The AI tool enables me (the user) to provide feedback indicating my preferences during regular interactions with it (the AI tool).,Neutral (3),20,21.3
Q15,Q15) The AI tool enables me (the user) to provide feedback indicating my preferences during regular interactions with it (the AI tool).,Disagree (2),15,16
Q15,Q15) The AI tool enables me (the user) to provide feedback indicating my preferences during regular interactions with it (the AI tool).,Strongly Agree (5),12,12.8
Q15,Q15) The AI tool enables me (the user) to provide feedback indicating my preferences during regular interactions with it (the AI tool).,Strongly Disagree (1),6,6.4
Q15,Q15) The AI tool enables me (the user) to provide feedback indicating my preferences during regular interactions with it (the AI tool).,Not applicable,2,2.1
Q16,Q16) The AI tool immediately updates or conveys how my (the user) actions will impact its (the AI tool’s) future behaviours.,Agree (4),36,38.3
Q16,Q16) The AI tool immediately updates or conveys how my (the user) actions will impact its (the AI tool’s) future behaviours.,Disagree (2),22,23.4
Q16,Q16) The AI tool immediately updates or conveys how my (the user) actions will impact its (the AI tool’s) future behaviours.,Neutral (3),14,14.9
Q16,Q16) The AI tool immediately updates or conveys how my (the user) actions will impact its (the AI tool’s) future behaviours.,Strongly Disagree (1),8,8.5
Q16,Q16) The AI tool immediately updates or conveys how my (the user) actions will impact its (the AI tool’s) future behaviours.,Strongly Agree (5),3,3.2
Q16,Q16) The AI tool immediately updates or conveys how my (the user) actions will impact its (the AI tool’s) future behaviours.,Not applicable,2,2.1
Q17,Q17) The AI tool allows me (the user) to globally customize what the AI tool monitors and how it behaves.,Neutral (3),34,36.2
Q17,Q17) The AI tool allows me (the user) to globally customize what the AI tool monitors and how it behaves.,Disagree (2),18,19.1
Q17,Q17) The AI tool allows me (the user) to globally customize what the AI tool monitors and how it behaves.,Agree (4),13,13.8
Q17,Q17) The AI tool allows me (the user) to globally customize what the AI tool monitors and how it behaves.,Strongly Agree (5),9,9.6
Q17,Q17) The AI tool allows me (the user) to globally customize what the AI tool monitors and how it behaves.,Strongly Disagree (1),6,6.4
Q17,Q17) The AI tool allows me (the user) to globally customize what the AI tool monitors and how it behaves.,Not applicable,5,5.3
Q18,Q18) The AI tool informs me (the user) when it (the AI tool) adds or updates its capabilities.,Agree (4),28,29.8
Q18,Q18) The AI tool informs me (the user) when it (the AI tool) adds or updates its capabilities.,Neutral (3),26,27.7
Q18,Q18) The AI tool informs me (the user) when it (the AI tool) adds or updates its capabilities.,Strongly Agree (5),12,12.8
Q18,Q18) The AI tool informs me (the user) when it (the AI tool) adds or updates its capabilities.,Disagree (2),7,7.4
Q18,Q18) The AI tool informs me (the user) when it (the AI tool) adds or updates its capabilities.,Not applicable,6,6.4
Q18,Q18) The AI tool informs me (the user) when it (the AI tool) adds or updates its capabilities.,Strongly Disagree (1),3,3.2
